,city,10,20,30
583,Елабуга,3.47,4.38,4.69
584,Семенов,3.45,4.38,4.69
585,Баймак,3.46,4.37,4.68
586,Сосновый Бор,3.6,4.37,4.68
587,Камбарка,3.45,4.36,4.68
588,Ивангород,3.62,4.32,4.63
589,Геленджик,3.74,4.31,4.62
590,Сарапул,3.41,4.31,4.62
591,Сортавала,3.62,4.31,4.62
592,Ноябрьск,3.48,4.31,4.62
593,Саров,3.37,4.31,4.62
594,Уржум,3.38,4.3,4.61
595,Губкинский,3.43,4.3,4.61
596,Катайск,3.33,4.28,4.58
597,Асино,3.38,4.28,4.58
598,Гудермес,3.52,4.26,4.57
599,Зеленокумск,3.44,4.26,4.56
600,Владивосток,3.67,4.26,4.56
601,Адыгейск,3.34,4.23,4.54
602,Ишимбай,3.32,4.22,4.53
603,Печора,3.35,4.17,4.47
604,Вязники,3.22,4.16,4.46
605,Черепаново,3.24,4.15,4.45
606,Ковров,3.23,4.14,4.44
607,Камешково,3.23,4.14,4.44
608,Долинск,3.34,4.14,4.44
609,Беломорск,3.38,4.14,4.43
610,Макаров,3.41,4.13,4.43
611,Чернушка,3.2,4.12,4.42
612,Невинномысск,3.35,4.12,4.42
613,Кыштым,3.17,4.12,4.42
614,Камышлов,3.18,4.11,4.41
615,Псков,3.24,4.11,4.4
616,Хотьково,3.17,4.11,4.4
617,Краснозаводск,3.17,4.11,4.4
618,Сергиев Посад,3.17,4.11,4.4
619,Пересвет,3.17,4.11,4.4
620,Уссурийск,3.23,4.09,4.39
621,Оханск,3.19,4.09,4.39
622,Оса,3.19,4.09,4.39
623,Заозерный,3.17,4.08,4.38
624,Бородино,3.17,4.08,4.38
625,Канск,3.16,4.07,4.36
626,Алатырь,3.13,4.06,4.35
627,Каменск-Уральский,3.09,4.04,4.33
628,Ирбит,3.08,4.04,4.33
629,Южно-Сахалинск,3.23,4.03,4.33
630,Салаир,3.12,4.03,4.32
631,Кемерово,3.1,4.02,4.31
632,Лесозаводск,3.15,4.01,4.3
633,Белорецк,3.16,4.01,4.29
634,Межгорье,3.16,4.01,4.29
635,Приозерск,3.23,4.0,4.29
636,Чайковский,3.11,4.0,4.29
637,Починок,3.05,3.99,4.28
638,Ельня,3.06,3.99,4.27
639,Устюжна,3.05,3.98,4.27
640,Вязьма,3.05,3.98,4.27
641,Тейково,3.07,3.97,4.26
642,Комсомольск,3.07,3.97,4.26
643,Уфа,3.03,3.97,4.25
644,Нерехта,3.06,3.96,4.24
645,Малмыж,3.03,3.95,4.24
646,Снежинск,2.99,3.94,4.22
647,Озерск,2.99,3.94,4.22
648,Касли,2.99,3.94,4.22
649,Хабаровск,3.1,3.92,4.2
650,Уяр,3.01,3.92,4.2
651,Зеленогорск,3.01,3.92,4.2
652,Полярный,3.06,3.91,4.2
653,Кунгур,3.0,3.91,4.19
654,Минеральные Воды,3.18,3.9,4.18
655,Ессентуки,3.18,3.9,4.18
656,Лермонтов,3.18,3.9,4.18
657,Пятигорск,3.18,3.9,4.18
658,Железноводск,3.18,3.9,4.18
659,Петропавловск-Камчатский,3.33,3.89,4.17
660,Спас-Деменск,2.96,3.89,4.17
661,Ростов,2.95,3.87,4.15
662,Большой Камень,3.21,3.86,4.14
663,Фокино,3.21,3.86,4.14
664,Красноярск,2.98,3.86,4.13
665,Сосновоборск,2.98,3.86,4.13
666,Конаково,2.9,3.85,4.12
667,Дубна,2.9,3.85,4.12
668,Клин,2.9,3.85,4.12
669,Козьмодемьянск,2.91,3.83,4.1
670,Южа,2.89,3.83,4.1
671,Фурманов,2.92,3.82,4.1
672,Приволжск,2.92,3.82,4.1
673,Плес,2.92,3.82,4.1
674,Волгореченск,2.92,3.82,4.1
675,Киселевск,2.95,3.81,4.09
676,Прокопьевск,2.95,3.81,4.09
677,Можга,2.9,3.81,4.09
678,Шилка,3.03,3.81,4.09
679,Дегтярск,2.87,3.8,4.08
680,Полевской,2.87,3.8,4.08
681,Златоуст,2.86,3.8,4.07
682,Сертолово,2.99,3.8,4.07
683,Бийск,3.0,3.79,4.07
684,Пудож,2.99,3.79,4.06
685,Ханты-Мансийск,2.93,3.79,4.06
686,Онега,3.01,3.78,4.06
687,Амурск,3.04,3.78,4.06
688,Кемь,3.0,3.78,4.05
689,Светогорск,2.96,3.78,4.05
690,Сухой Лог,2.85,3.78,4.05
691,Богданович,2.85,3.78,4.05
692,Свободный,2.89,3.78,4.05
693,Белокуриха,3.04,3.77,4.04
694,Олонец,2.89,3.76,4.03
695,Бакал,2.86,3.76,4.03
